股票代码,公司名称,行业,会计年度,营业收入,营业成本,销售费用,管理费用,研发费用,财务费用,资产减值损失,营业利润,利润总额,所得税费用,净利润,归母净利润,货币资金,应收账款,存货,流动资产合计,固定资产,无形资产,非流动资产合计,资产总计,短期借款,应付账款,流动负债合计,长期借款,非流动负债合计,负债合计,所有者权益合计,归母股东权益,经营活动现金流净额,投资活动现金流净额,筹资活动现金流净额,现金及等价物净增加额
00080000,消费品第001号公司,消费品,2019,11.995,14.55,1.64,0.72,0.41,0.2,-0.12,4.77,4.62,1.26,3.36,2.81,5.27,2.86,2.38,12.28,8.3,3.34,12.77,25.05,3.64,2.46,7.3,3.17,4.25,11.54,13.51,12.9,4.32,-1.01,-0.25,3.06
00080000,消费品第001号公司,消费品,2020,24.24,16.21,1.64,0.67,0.37,0.52,0.43,2.75,2.81,0.72,2.1,1.85,7.98,4.55,4.53,18.66,5.76,2.81,9.4,28.05,4.01,2.87,7.3,3.17,5.08,12.93,15.13,13.17,2.42,-0.51,1.73,3.65
00080000,消费品第001号公司,消费品,2021,23.83,16.95,0.74,1.72,0.46,0.59,0.06,3.31,3.29,0.85,2.44,2.11,3.27,1.29,3.07,8.67,10.88,2.38,16.0,24.67,4.01,2.74,8.36,1.99,3.01,11.37,13.31,12.8,2.0,-0.89,-0.95,0.16
00080000,消费品第001号公司,消费品,2022,21.53,15.11,1.39,0.81,0.35,0.33,0.19,3.34,3.44,0.94,2.49,0.77,2.22,1.45,3.07,9.18,4.96,1.31,6.92,16.1,2.57,1.96,5.84,0.99,1.58,7.42,8.68,8.68,2.49,-0.42,-1.02,1.05
00080000,消费品第001号公司,消费品,2023,25.45,15.74,1.74,2.14,0.43,0.56,0.12,4.72,4.89,0.48,1.51,3.01,7.45,2.78,3.51,14.41,11.42,1.23,14.09,28.5,5.2,1.39,8.2,4.37,4.93,13.13,15.37,14.23,2.98,-1.63,-1.81,-0.47
00080001,消费品第002号公司,消费品,2019,7.43,4.34,0.56,0.28,,0.09,0.1,1.92,1.85,0.45,1.4,1.13,2.36,1.05,0.77,4.95,2.27,0.79,3.86,8.81,0.52,0.6,2.09,1.54,2.24,4.33,4.47,4.21,1.31,-0.64,,1.17
00080001,消费品第002号公司,消费品,2020,7.2,5.58,0.55,0.41,0.12,0.06,0.14,1.32,0.33,0.08,0.25,0.23,2.0,0.41,1.65,4.71,3.68,0.67,4.6,9.31,0.81,0.6,2.76,1.03,1.82,4.58,4.73,4.18,0.35,-0.49,0.3,0.16
00080001,消费品第002号公司,消费品,2021,7.76,9.63,0.42,0.64,0.13,0.21,0.08,0.6,0.62,0.15,0.46,0.42,1.88,0.67,1.04,3.95,4.3,0.66,5.23,9.31,1.39,0.83,2.63,1.91,1.89,4.52,4.67,4.54,0.29,-0.66,-0.48,-0.86
00080001,消费品第002号公司,消费品,2022,7.56,6.38,0.4,0.69,0.12,0.14,0.13,-0.29,-0.3,0.0,-0.3,-0.24,2.38,1.22,1.48,5.42,2.81,0.86,4.29,9.71,1.63,0.5,2.44,1.92,2.33,4.77,4.93,4.21,-0.43,-0.67,0.29,-0.82
00080001,消费品第002号公司,消费品,2023,7.71,5.77,0.56,0.58,0.12,0.15,0.11,0.42,0.44,0.12,0.32,0.3,1.2,1.2,1.48,4.18,3.86,0.72,5.46,9.64,1.92,0.89,2.94,1.67,1.8,4.74,4.9,4.49,0.25,-0.72,,-0.7
00080002,消费品第003号公司,消费品,2019,27.54,15.47,0.64,1.14,0.69,0.31,-0.02,9.3,9.27,2.54,6.73,5.55,6.93,2.12,2.25,13.37,11.69,3.79,16.54,29.91,3.29,1.78,6.29,4.93,5.45,11.75,18.16,17.52,5.19,-1.62,-0.11,3.45
00080002,消费品第003号公司,消费品,2020,30.45,25.2,1.48,1.25,0.76,0.34,0.54,0.87,0.86,0.2,0.66,0.64,2.89,5.24,3.35,13.55,6.29,4.62,13.18,26.73,3.94,3.06,7.88,1.78,2.61,10.5,16.23,14.25,0.29,-0.94,-0.48,-1.13
00080002,消费品第003号公司,消费品,2021,12.12,24.72,1.63,1.83,0.62,0.6,0.53,1.3599999999999999,1.13,0.3,0.84,0.79,5.98,6.21,2.99,17.54,6.34,3.44,12.81,30.35,5.56,3.86,7.51,5.55,4.41,11.92,18.43,17.28,0.52,-2.37,-2.57,-4.41
